,INSTNM,STABBR,ADM_RATE_ALL,SATMTMID,SATVRMID,SAT_AVG_ALL,AVGFACSAL,TUITFTE,TUITIONFEE_IN,TUITIONFEE_OUT,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,RET_FT4,PCTFLOAN,C150_4,mn_earn_wne_p10,md_earn_wne_p10,PFTFAC
3758,South Carolina State University,SC,374,431,408,851,6666,9292,9776,18910,1,2876,0.0271,0.951,0.0066,0.0063,0.0003,0.0003,0.0007,0.0014,0.0063,0.640273038,0.176109215,0.097610922,0.055290102,0.030716724,0.6027,0.8187,0.3568,34000,30400,0.7518
3759,University of South Carolina-Upstate,SC,712,490,485,982,6139,5701,10198,20226,1,4952,0.5687,0.2886,0.0438,0.0184,0.002,0.0002,0.0311,0.0147,0.0325,0.434038268,0.17455522,0.167505875,0.149043303,0.074857335,0.661,0.6512,0.405,39500,36100,0.9656
3769,Winthrop University,SC,966,515,515,1030,7223,8375,13670,26240,1,4704,0.5818,0.3099,0.031,0.0138,0.0047,0.0026,0.0217,0.0327,0.0017,0.394178794,0.164241164,0.170893971,0.148856549,0.121829522,0.7178,0.6564,0.5587,38500,36100,0.5952
3770,Wofford College,SC,863,590,580,1186,7867,15560,35515,35515,2,1610,0.8168,0.0814,0.0236,0.028,0.0006,0.0006,0.0199,0.0199,0.0093,0.204347826,0.12826087,0.193478261,0.186956522,0.286956522,0.895,0.412,0.8156,56600,46800,0.8038
3774,Black Hills State University,SD,1396,512,529,993,6666,6118,7617,9617,1,3156,0.8571,0.0105,0.045,0.0051,0.0383,0.0022,0.032,0.006,0.0038,0.383199079,0.161104718,0.183544304,0.16570771,0.106444189,0.5934,0.5873,0.3347,37800,34400,0.8645
3776,Dakota State University,SD,1270,495,510,1010,6855,6380,7506,9506,1,1743,0.8594,0.0304,0.0304,0.0138,0.0098,0.0023,0.0281,0.0138,0.012,0.316202091,0.181184669,0.234320558,0.182055749,0.086236934,0.6926,0.4321,0.4733,41900,37400,0.7244
3777,Dakota Wesleyan University,SD,903,500,490,1058,5452,10120,22700,22700,2,754,0.8873,0.0212,0.0398,0.0027,0.0146,0,0.0199,0.0119,0.0027,0.255186722,0.174273859,0.186721992,0.230290456,0.153526971,0.7677,0.8391,0.4221,38000,34100,0.4286
3788,Presentation College,SD,765,440,425,934,4629,12537,17014,17014,2,728,0.7184,0.1209,0.0549,0.0124,0.0316,0.0014,0.0206,0.0027,0.0371,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5773,0.807,0.3415,39600,37100,0.6479
3790,South Dakota School of Mines and Technology,SD,1342,610,565,1183,8892,8097,10040,12870,1,2194,0.8569,0.016,0.0346,0.0137,0.0141,0.0014,0.0356,0.0201,0.0077,0.257458564,0.131491713,0.206629834,0.219889503,0.184530387,0.7886,0.5507,0.4566,57000,52300,0.907
3791,South Dakota State University,SD,1435,530,515,1050,7451,7250,7713,9795,1,10048,0.9036,0.0161,0.0181,0.0092,0.009,0.0015,0.0177,0.022,0.0029,0.253133846,0.142741609,0.205620704,0.224423777,0.174080065,0.7589,0.6074,0.5566,46100,40600,0.8158
3793,University of Sioux Falls,SD,1505,460,430,1064,6075,10899,24550,24550,2,1075,0.8809,0.04,0.027,0.0047,0.0037,0.0019,0.0307,0.0056,0.0056,0.271708684,0.144257703,0.18767507,0.219887955,0.176470588,0.6579,0.7345,0.4747,40000,36900,1
3801,Aquinas College,TN,399,405,470,1115,5291,14327,20550,20550,2,486,0.7263,0.0782,0.037,0.037,0.0021,0.0082,0.0185,0.0267,0.0658,0.44534413,0.206477733,0.125506073,0.117408907,0.105263158,0.875,0.6853,0.4138,51600,44400,0.4259
3804,Austin Peay State University,TN,1337,495,485,1009,6879,5498,6876,21372,1,9271,0.6597,0.1913,0.0554,0.0146,0.004,0.0023,0.0455,0.0038,0.0234,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6618,0.5866,0.3603,37600,34700,1
3806,Belmont University,TN,1192,580,590,1193,8450,21777,27380,27380,2,5465,0.8201,0.0401,0.0428,0.0161,0.0024,0.0004,0.0326,0.0082,0.0373,0.225041368,0.103695532,0.146166575,0.191947049,0.333149476,0.8333,0.6481,0.6796,44900,39100,0.478
3807,Bethel University,TN,380,475,450,930,3935,8975,15714,15714,2,5063,0.507,0.3701,0.0138,0.0051,0.0032,0.0012,0.0065,0.0122,0.0808,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5556,0.7765,0.302,42100,35200,1
3808,Bryan College-Dayton,TN,179,535,525,1053,4166,8672,21150,21150,2,1209,0.8619,0.0562,0.0149,0.0033,0.0017,0.0033,0.0165,0.0199,0.0223,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7077,0.4577,0.6154,40800,35500,0.4621
3809,Carson-Newman University,TN,783,523,510,1064,5577,11866,23696,23696,2,1688,0.8395,0.0912,0.0142,0.0047,0.003,0.0006,0.0195,0.019,0.0083,0.354101765,0.182762202,0.192107996,0.154724818,0.116303219,0.6865,0.6586,0.4954,41000,35400,0.5947
3817,Cumberland University,TN,305,480,480,986,5864,9749,20200,20200,2,1198,0.6736,0.116,0.0284,0.0067,0.0033,0,0,0.0392,0.1327,0.346153846,0.163129974,0.216180371,0.157824934,0.116710875,0.6368,0.6097,0.3714,38500,35000,0.4067
